id,created_at (EDT),event_type,event_action,actor,repo
4095629386,2016-06-02T18:12:20Z,PushEvent,,KirstieJane,KirstieJane/STEMMRoleModels
4093597192,2016-06-02T11:48:22Z,WatchEvent,started,RIanDeLaCruz,KirstieJane/STEMMRoleModels
4093480188,2016-06-02T11:17:59Z,IssueCommentEvent,created,univ3573,KirstieJane/STEMMRoleModels
4092177761,2016-06-02T05:25:17Z,IssueCommentEvent,created,eddiejaoude,KirstieJane/STEMMRoleModels
4092031698,2016-06-02T04:11:15Z,IssueCommentEvent,created,grprtkal,KirstieJane/STEMMRoleModels
4099153604,2016-06-03T11:24:44Z,IssuesEvent,opened,philippbayer,openSNP/snpr
4099114837,2016-06-03T11:13:38Z,IssuesEvent,closed,gedankenstuecke,openSNP/snpr
4099114833,2016-06-03T11:13:38Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4099113903,2016-06-03T11:13:22Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4099107363,2016-06-03T11:11:25Z,PushEvent,,philippbayer,openSNP/snpr
4099107323,2016-06-03T11:11:25Z,PullRequestEvent,closed,philippbayer,openSNP/snpr
4099107137,2016-06-03T11:11:22Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4099085460,2016-06-03T11:05:14Z,PushEvent,,philippbayer,openSNP/snpr
4099085419,2016-06-03T11:05:12Z,PullRequestEvent,closed,philippbayer,openSNP/snpr
4098833553,2016-06-03T09:59:04Z,PullRequestEvent,opened,gedankenstuecke,openSNP/snpr
4098832869,2016-06-03T09:58:54Z,CreateEvent,,gedankenstuecke,openSNP/snpr
4098497662,2016-06-03T08:38:31Z,PushEvent,,gedankenstuecke,openSNP/snpr
4098497644,2016-06-03T08:38:31Z,PullRequestEvent,closed,gedankenstuecke,openSNP/snpr
4098497412,2016-06-03T08:38:27Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4098379187,2016-06-03T08:07:22Z,PullRequestEvent,opened,philippbayer,openSNP/snpr
4098207415,2016-06-03T07:15:07Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4098205432,2016-06-03T07:14:30Z,PushEvent,,gedankenstuecke,openSNP/snpr
4098061369,2016-06-03T06:22:16Z,PullRequestReviewCommentEvent,created,houndci-bot,openSNP/snpr
4097622175,2016-06-03T02:55:03Z,PushEvent,,philippbayer,openSNP/snpr
4097622156,2016-06-03T02:55:02Z,IssuesEvent,closed,philippbayer,openSNP/snpr
4097622135,2016-06-03T02:55:02Z,PullRequestEvent,closed,philippbayer,openSNP/snpr
4097621655,2016-06-03T02:54:49Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4097617196,2016-06-03T02:52:42Z,PullRequestEvent,opened,SXibolet,openSNP/snpr
4097613397,2016-06-03T02:50:58Z,PullRequestEvent,closed,SXibolet,openSNP/snpr
4097608574,2016-06-03T02:48:45Z,IssueCommentEvent,created,SXibolet,openSNP/snpr
4097606251,2016-06-03T02:47:44Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4097601370,2016-06-03T02:45:32Z,PullRequestEvent,opened,SXibolet,openSNP/snpr
4097419683,2016-06-03T01:27:53Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4097155654,2016-06-02T23:50:57Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4097147031,2016-06-02T23:48:21Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4097104920,2016-06-02T23:34:59Z,PullRequestReviewCommentEvent,created,gedankenstuecke,openSNP/snpr
4097103701,2016-06-02T23:34:35Z,PushEvent,,gedankenstuecke,openSNP/snpr
4097090600,2016-06-02T23:30:34Z,PullRequestReviewCommentEvent,created,philippbayer,openSNP/snpr
4097062423,2016-06-02T23:22:10Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4096924103,2016-06-02T22:43:17Z,PushEvent,,gedankenstuecke,openSNP/snpr
4096900228,2016-06-02T22:36:58Z,PullRequestReviewCommentEvent,created,houndci-bot,openSNP/snpr
4096900218,2016-06-02T22:36:57Z,PullRequestReviewCommentEvent,created,houndci-bot,openSNP/snpr
4096900205,2016-06-02T22:36:57Z,PullRequestReviewCommentEvent,created,houndci-bot,openSNP/snpr
4096900016,2016-06-02T22:36:55Z,PullRequestEvent,opened,gedankenstuecke,openSNP/snpr
4096865984,2016-06-02T22:28:11Z,CreateEvent,,gedankenstuecke,openSNP/snpr
4096476027,2016-06-02T21:00:42Z,PushEvent,,gedankenstuecke,openSNP/snpr
4096475981,2016-06-02T21:00:42Z,PullRequestEvent,closed,gedankenstuecke,openSNP/snpr
4096475110,2016-06-02T21:00:31Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4096461562,2016-06-02T20:57:54Z,IssueCommentEvent,created,gedankenstuecke,openSNP/snpr
4096456494,2016-06-02T20:56:56Z,IssueCommentEvent,created,SXibolet,openSNP/snpr
4096278391,2016-06-02T20:21:34Z,PullRequestEvent,opened,SXibolet,openSNP/snpr
4096242974,2016-06-02T20:14:39Z,ForkEvent,,SXibolet,openSNP/snpr
4093508327,2016-06-02T11:25:19Z,PullRequestEvent,closed,philippbayer,openSNP/snpr
4093508321,2016-06-02T11:25:19Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4093498380,2016-06-02T11:22:39Z,PullRequestReviewCommentEvent,created,philippbayer,openSNP/snpr
4093377179,2016-06-02T10:51:26Z,PullRequestReviewCommentEvent,created,philippbayer,openSNP/snpr
4093087729,2016-06-02T09:44:08Z,WatchEvent,started,zakrapovic,openSNP/snpr
4092998070,2016-06-02T09:24:47Z,PullRequestReviewCommentEvent,created,tsujigiri,openSNP/snpr
4092860397,2016-06-02T08:53:35Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
4092639051,2016-06-02T08:00:30Z,IssueCommentEvent,created,philippbayer,openSNP/snpr
